g1 , b30
g2 , b41
g3 , b91
g4 , b81
g5 , b89
g6 , b83
g7 , b15
g8 , b32
g9 , b11
g10 , b74
g11 , b54
g12 , b99
g13 , b58
g14 , b26
g15 , b13
g16 , b45
g17 , b2
g18 , b3
g19 , b76
g20 , b73
g21 , b24
g22 , b28
g23 , b90
g24 , b55
g25 , b86
g26 , b97
g27 , b43
g28 , b25
g29 , b4
g30 , b40
g31 , b39
g32 , b72
g33 , b79
g34 , b61
g35 , b92
g36 , b95
g37 , b85
g38 , b78
g39 , b21
g40 , b36
g41 , b67
g42 , b27
g43 , b51
g44 , b63
g45 , b96
g46 , b12
g47 , b8
g49 , b44
g50 , b100
